[27/02/2023 19:37:03 - INFO] Discord Presence activated
[27/02/2023 19:37:03 - INFO] Creating discord-rpc client
[27/02/2023 19:37:03 - INFO] Successfully connected to Discord
[27/02/2023 19:37:03 - DEBUG] Loading git extension
[27/02/2023 19:37:36 - TRACE] VSCode language id: markdown
[27/02/2023 19:37:51 - TRACE] VSCode language id: markdown
[27/02/2023 19:37:53 - TRACE] VSCode language id: markdown
[27/02/2023 19:38:00 - TRACE] VSCode language id: markdown
[27/02/2023 19:38:02 - TRACE] VSCode language id: markdown
[27/02/2023 19:38:08 - TRACE] VSCode language id: markdown
[27/02/2023 19:38:10 - TRACE] VSCode language id: markdown
[27/02/2023 19:38:12 - TRACE] VSCode language id: markdown
[27/02/2023 19:39:52 - TRACE] VSCode language id: markdown
[27/02/2023 19:39:54 - TRACE] VSCode language id: markdown
[27/02/2023 19:39:56 - TRACE] VSCode language id: markdown
[27/02/2023 19:39:58 - TRACE] VSCode language id: markdown
[27/02/2023 19:40:00 - TRACE] VSCode language id: markdown
[27/02/2023 19:40:02 - TRACE] VSCode language id: markdown
[27/02/2023 19:40:05 - TRACE] VSCode language id: markdown
[27/02/2023 19:40:07 - TRACE] VSCode language id: markdown
[27/02/2023 19:40:09 - TRACE] VSCode language id: markdown
[27/02/2023 19:40:11 - TRACE] VSCode language id: markdown
[27/02/2023 19:40:13 - TRACE] VSCode language id: markdown
[27/02/2023 19:40:31 - TRACE] VSCode language id: markdown
[27/02/2023 19:40:33 - TRACE] VSCode language id: markdown
